310000 : { 'acc' : 0.010 	 },
310001 : { 'acc' : 0.010 	 },
310002 : { 'acc' : 0.010 	 },
310003 : { 'acc' : 0.009 	 },
310004 : { 'acc' : 0.012 	 },
310005 : { 'acc' : 0.012 	 },
310006 : { 'acc' : 0.010 	 },
310007 : { 'acc' : 0.010 	 },
310008 : { 'acc' : 0.012 	 },
310009 : { 'acc' : 0.012 	 },
310010 : { 'acc' : 0.023 	 },
310011 : { 'acc' : 0.020 	 },
310012 : { 'acc' : 0.019 	 },
310013 : { 'acc' : 0.015 	 },
310014 : { 'acc' : 0.017 	 },
310015 : { 'acc' : 0.026 	 },
310016 : { 'acc' : 0.146 	 },
310017 : { 'acc' : 0.140 	 },
310018 : { 'acc' : 0.142 	 },
310019 : { 'acc' : 0.148 	 },
310020 : { 'acc' : 0.150 	 },
310021 : { 'acc' : 0.139 	 },
310022 : { 'acc' : 0.255 	 },
310023 : { 'acc' : 0.252 	 },
310024 : { 'acc' : 0.261 	 },
310025 : { 'acc' : 0.269 	 },
310026 : { 'acc' : 0.266 	 },
310027 : { 'acc' : 0.268 	 },
310028 : { 'acc' : 0.267 	 },
310029 : { 'acc' : 0.251 	 },
310030 : { 'acc' : 0.308 	 },
310031 : { 'acc' : 0.313 	 },
310032 : { 'acc' : 0.312 	 },
310033 : { 'acc' : 0.319 	 },
310034 : { 'acc' : 0.318 	 },
310035 : { 'acc' : 0.322 	 },
310036 : { 'acc' : 0.317 	 },
310037 : { 'acc' : 0.313 	 },
310038 : { 'acc' : 0.357 	 },
310039 : { 'acc' : 0.363 	 },
310040 : { 'acc' : 0.358 	 },
310041 : { 'acc' : 0.354 	 },
310042 : { 'acc' : 0.361 	 },
310043 : { 'acc' : 0.372 	 },
310044 : { 'acc' : 0.362 	 },
310045 : { 'acc' : 0.359 	 },
310046 : { 'acc' : 0.357 	 },
310047 : { 'acc' : 0.388 	 },
310048 : { 'acc' : 0.382 	 },
310049 : { 'acc' : 0.386 	 },
310050 : { 'acc' : 0.381 	 },
310051 : { 'acc' : 0.396 	 },
310052 : { 'acc' : 0.395 	 },
310053 : { 'acc' : 0.392 	 },
310054 : { 'acc' : 0.394 	 },
310055 : { 'acc' : 0.382 	 },
310056 : { 'acc' : 0.400 	 },
310057 : { 'acc' : 0.407 	 },
310058 : { 'acc' : 0.409 	 },
310059 : { 'acc' : 0.406 	 },
310060 : { 'acc' : 0.405 	 },
310061 : { 'acc' : 0.409 	 },
310062 : { 'acc' : 0.415 	 },
310063 : { 'acc' : 0.413 	 },
310064 : { 'acc' : 0.418 	 },
310065 : { 'acc' : 0.405 	 },
310066 : { 'acc' : 0.424 	 },
310067 : { 'acc' : 0.418 	 },
310068 : { 'acc' : 0.414 	 },
310069 : { 'acc' : 0.415 	 },
310070 : { 'acc' : 0.424 	 },
310071 : { 'acc' : 0.425 	 },
310072 : { 'acc' : 0.437 	 },
310073 : { 'acc' : 0.431 	 },
310074 : { 'acc' : 0.435 	 },
310075 : { 'acc' : 0.418 	 },
310076 : { 'acc' : 0.427 	 },
310077 : { 'acc' : 0.432 	 },
310078 : { 'acc' : 0.434 	 },
310079 : { 'acc' : 0.440 	 },
310080 : { 'acc' : 0.436 	 },
310081 : { 'acc' : 0.435 	 },
310082 : { 'acc' : 0.432 	 },
310083 : { 'acc' : 0.447 	 },
310084 : { 'acc' : 0.453 	 },
310085 : { 'acc' : 0.448 	 },
310086 : { 'acc' : 0.426 	 },
310087 : { 'acc' : 0.439 	 },
310088 : { 'acc' : 0.440 	 },
310089 : { 'acc' : 0.443 	 },
310090 : { 'acc' : 0.441 	 },
310091 : { 'acc' : 0.439 	 },
310092 : { 'acc' : 0.447 	 },
310093 : { 'acc' : 0.447 	 },
310094 : { 'acc' : 0.447 	 },
310095 : { 'acc' : 0.445 	 },
310096 : { 'acc' : 0.444 	 },
310097 : { 'acc' : 0.445 	 },
310098 : { 'acc' : 0.440 	 },
310099 : { 'acc' : 0.449 	 },
310100 : { 'acc' : 0.448 	 },
310101 : { 'acc' : 0.444 	 },
310102 : { 'acc' : 0.435 	 },
310103 : { 'acc' : 0.445 	 },
310104 : { 'acc' : 0.441 	 },
310105 : { 'acc' : 0.445 	 },
310106 : { 'acc' : 0.447 	 },
310107 : { 'acc' : 0.445 	 },
310108 : { 'acc' : 0.448 	 },
310109 : { 'acc' : 0.441 	 },
310110 : { 'acc' : 0.444 	 },
310111 : { 'acc' : 0.449 	 },
310112 : { 'acc' : 0.449 	 },
310113 : { 'acc' : 0.447 	 },
310114 : { 'acc' : 0.456 	 },
310115 : { 'acc' : 0.453 	 },
310116 : { 'acc' : 0.453 	 },
310117 : { 'acc' : 0.452 	 },
310118 : { 'acc' : 0.453 	 },
310119 : { 'acc' : 0.456 	 },
310120 : { 'acc' : 0.454 	 },
310121 : { 'acc' : 0.458 	 },
310122 : { 'acc' : 0.458 	 },
310123 : { 'acc' : 0.437 	 },
310124 : { 'acc' : 0.451 	 },
310125 : { 'acc' : 0.457 	 },
310126 : { 'acc' : 0.456 	 },
310127 : { 'acc' : 0.450 	 },
310128 : { 'acc' : 0.460 	 },
310129 : { 'acc' : 0.457 	 },
310130 : { 'acc' : 0.458 	 },
310131 : { 'acc' : 0.463 	 },
310132 : { 'acc' : 0.461 	 },
310133 : { 'acc' : 0.459 	 },
310134 : { 'acc' : 0.460 	 },
310135 : { 'acc' : 0.458 	 },
310136 : { 'acc' : 0.456 	 },
310137 : { 'acc' : 0.460 	 },
